exp_path,dist_m,curr_mA,regime_id,n_samples,skip,lag,phase_rad,p_tx,p_rx_raw,p_rx_sync,p_rx_norm,factor_ref,evm_pct,evm_dB,snr_dB,noise_power,var_I,log_var_I,skew_I,kurt_excess_I,jb_p_real_resid,var_Q,log_var_Q,skew_Q,kurt_excess_Q,jb_p_imag_resid
dist_0.8m/curr_100mA,0.8,100.0,dist_0p8m__curr_100mA,1799520,200000,480,2.139296770095825,0.5556941628456116,0.0269418153911829,0.02694130130112171,0.5004387497901917,4.309891182022685,18.772999,-14.529327,14.529327,0.0195840783,0.0092429702,-4.683892,-0.001036,-0.030915,,0.0092463823,-4.683523,0.000256,-0.03307,
dist_0.8m/curr_200mA,0.8,200.0,dist_0p8m__curr_200mA,1799534,200000,466,2.971313714981079,0.5555270314216614,0.029684191569685936,0.02968420833349228,0.5513890385627747,4.309891182022685,17.486526,-15.145929,15.145929,0.0169868264,0.007946321,-4.835046,0.000188,-0.016234,,0.0079388378,-4.835988,-0.001307,-0.010987,
dist_0.8m/curr_300mA,0.8,300.0,dist_0p8m__curr_300mA,1799525,200000,475,-2.6642005443573,0.5552244782447815,0.02989061363041401,0.029890693724155426,0.5552247762680054,4.309891182022685,17.766059,-15.008178,15.008178,0.0175247081,0.0082208446,-4.801082,-0.001074,-0.008145,,0.0082254818,-4.800518,0.001047,-0.015882,
dist_0.8m/curr_400mA,0.8,400.0,dist_0p8m__curr_400mA,1799857,200000,143,2.83034610748291,0.5554750561714172,0.02673874981701374,0.026738932356238365,0.49668002128601074,4.309891182022685,18.839893,-14.498431,14.498431,0.0197161194,0.0093221382,-4.675363,0.003172,-0.039274,,0.0093029654,-4.677422,0.000962,-0.044226,
dist_0.8m/curr_500mA,0.8,500.0,dist_0p8m__curr_500mA,1799763,200000,237,1.484435796737671,0.5556207299232483,0.022719232365489006,0.02271946333348751,0.4220176041126251,4.309891182022685,22.336819,-13.019573,13.019573,0.0277217794,0.0132947854,-4.320383,-0.001235,-0.26654,,0.013313731,-4.318959,0.001316,-0.26343,
dist_0.8m/curr_600mA,0.8,600.0,dist_0p8m__curr_600mA,1799530,200000,470,-1.6478028297424316,0.5557391047477722,0.021067334339022636,0.02106744982302189,0.3913313150405884,4.309891182022685,24.594087,-12.183386,12.183386,0.0336149409,0.0162763921,-4.11804,-0.000337,-0.399767,,0.0162588376,-4.119119,-0.001035,-0.403074,
dist_0.8m/curr_700mA,0.8,700.0,dist_0p8m__curr_700mA,1799496,200000,504,-0.3419870138168335,0.5555697679519653,0.01914829947054386,0.019148504361510277,0.3556867241859436,4.309891182022685,27.550901,-11.197284,11.197284,0.0421706438,0.0205301801,-3.885859,0.001274,-0.559983,,0.0205470027,-3.88504,0.000274,-0.561552,
dist_0.8m/curr_800mA,0.8,800.0,dist_0p8m__curr_800mA,1799502,200000,498,-0.33276477456092834,0.5550164580345154,0.017824092879891396,0.017824020236730576,0.3310837149620056,4.309891182022685,29.914129,-10.482473,10.482473,0.0496659316,0.0242703531,-3.7185,-0.001214,-0.654497,,0.0242933149,-3.717554,-0.00178,-0.657187,
dist_0.8m/curr_900mA,0.8,900.0,dist_0p8m__curr_900mA,1799529,200000,471,-1.5054641962051392,0.5555362105369568,0.017091795802116394,0.017091643065214157,0.31748005747795105,4.309891182022685,31.455394,-10.046097,10.046097,0.0549670756,0.0268973745,-3.615727,0.000798,-0.700024,,0.026938159,-3.614211,-0.000267,-0.703496,
dist_1.0m/curr_100mA,1.0,100.0,dist_1p0m__curr_100mA,1799513,200000,487,0.8767560124397278,0.5555315613746643,0.015956487506628036,0.015956638380885124,0.29639706015586853,4.309891182022685,33.957965,-9.381167,9.381167,0.0640607551,0.031516527,-3.457243,-0.001839,-0.751541,,0.0314739751,-3.458594,-0.000859,-0.750439,
