exp_path,dist_m,curr_mA,regime_id,n_samples,skip,lag,phase_rad,p_tx,p_rx_raw,p_rx_sync,p_rx_norm,factor_ref,evm_pct,evm_dB,snr_dB,noise_power,var_I,var_Q,log_var_I,log_var_Q,skew_I,skew_Q,kurt_excess_I,kurt_excess_Q
dist_0.8m/curr_100mA/full_circle_0.8m_100mA_001_20260415_152526,0.8,100.0,dist_0p8m__curr_100mA,900000,100000,448,-1.6538259983062744,0.6668624877929688,0.053499724715948105,0.053498078137636185,0.561157763004303,3.2387198587481496,15.19241973207634,-16.36746099068866,16.36746099068866,0.015391827560961246,0.007394535157477048,0.007391497987578126,-4.907014043824558,-4.907424859884801,0.004893560675290654,-0.0017745719808607262,-0.02469185294349563,-0.025352585126688254
dist_0.8m/curr_200mA/full_circle_0.8m_200mA_001_20260415_152631,0.8,200.0,dist_0p8m__curr_200mA,900000,100000,429,1.3996692895889282,0.6678992509841919,0.0630301833152771,0.06303101032972336,0.6611515283584595,3.2387198587481496,11.961435243804381,-18.444334130920097,18.4443341309201,0.009556030854582787,0.004460266658616747,0.004467361578908716,-5.412546725809929,-5.410957295426662,0.001928478609522216,0.0009655611526382053,0.09163980175684605,0.12574914650457103
dist_0.8m/curr_300mA/full_circle_0.8m_300mA_001_20260415_152735,0.8,300.0,dist_0p8m__curr_300mA,900000,100000,451,-0.5758758187294006,0.6672962307929993,0.06361588835716248,0.0636168122291565,0.667296290397644,3.2387198587481496,12.155432529460112,-18.30459165897041,18.30459165897041,0.009859604761004448,0.004610705279013962,0.004620770234131252,-5.379374444735072,-5.3771938704398545,0.001270941027776951,0.006074248863508817,0.08214759667447025,0.0137688470320243
dist_0.8m/curr_400mA/full_circle_0.8m_400mA_001_20260415_152840,0.8,400.0,dist_0p8m__curr_400mA,900000,100000,439,-3.122429609298706,0.667182445526123,0.053269606083631516,0.05326998978853226,0.5587653517723083,3.2387198587481496,14.896317247413549,-16.53842174157534,16.53842174157534,0.014804796315729618,0.0070937345751453315,0.007089344430606134,-4.948543338731677,-4.9491624066615145,0.003065870301573211,-0.0019391177243041127,-0.1324664324321927,-0.1278473027439504
dist_0.8m/curr_500mA/full_circle_0.8m_500mA_001_20260415_152944,0.8,500.0,dist_0p8m__curr_500mA,900000,100000,427,2.7459568977355957,0.6669941544532776,0.047914136201143265,0.04791535437107086,0.5025988817214966,3.2387198587481496,18.16415563649455,-14.815695711526695,14.815695711526695,0.022006575018167496,0.01068127558432198,0.010690078292069936,-4.539263015847819,-4.538439230111391,-0.0029222918814282507,-0.0004997402506670773,-0.355888736853462,-0.3514610190048648
dist_0.8m/curr_600mA/full_circle_0.8m_600mA_001_20260415_153049,0.8,600.0,dist_0p8m__curr_600mA,900000,100000,421,1.3444619178771973,0.6666052341461182,0.04334089159965515,0.04334099963307381,0.45461705327033997,3.2387198587481496,21.54163044648745,-13.334428576828806,13.334428576828806,0.03093327209353447,0.015157094213790285,0.015160586478173078,-4.189286591691918,-4.189056213620869,0.0016115930370472925,-0.0015765530690714487,-0.5213510073043284,-0.5182316394827295
dist_0.8m/curr_700mA/full_circle_0.8m_700mA_001_20260415_153154,0.8,700.0,dist_0p8m__curr_700mA,900000,100000,432,-2.4168009757995605,0.6672800183296204,0.04057776927947998,0.04057784751057625,0.4256335198879242,3.2387198587481496,23.93593902041501,-12.418990604597248,12.418990604597248,0.03823041915893555,0.018822775763455535,0.018787814491158437,-3.9726876656125305,-3.974546784660129,0.0009665683372653839,0.0003724236223798587,-0.599645256675656,-0.5914125005694335
dist_0.8m/curr_800mA/full_circle_0.8m_800mA_001_20260415_153258,0.8,800.0,dist_0p8m__curr_800mA,900000,100000,441,0.17664575576782227,0.6668246984481812,0.0393628291785717,0.03936237841844559,0.41288405656814575,3.2387198587481496,25.09385097490971,-12.00865370968498,12.008653709684978,0.041990041732788086,0.020672054990978964,0.020705458622547118,-3.878972491218158,-3.8773579119016377,-0.0032968945219959997,0.0026248584059741275,-0.6122623640134508,-0.6166008994164485
dist_0.8m/curr_900mA/full_circle_0.8m_900mA_001_20260415_153403,0.8,900.0,dist_0p8m__curr_900mA,900000,100000,429,1.107818365097046,0.6673040390014648,0.03664802387356758,0.03664746135473251,0.3844064474105835,3.2387198587481496,27.62493101658204,-11.173975956022753,11.173975956022753,0.050924427807331085,0.025128555856216133,0.025190668814838026,-3.6837503960012765,-3.6812816381627,0.0013771361303375434,0.0018978749781035377,-0.6736813342017025,-0.6771725865611429
dist_1.0m/curr_100mA/full_circle_1m_100mA_001_20260415_150756,1.0,100.0,dist_1p0m__curr_100mA,900000,100000,462,0.9002966284751892,0.6671193838119507,0.023268602788448334,0.02326824702322483,0.24406778812408447,3.2387198587481496,42.411742395923845,-7.450277702236679,7.450277702236681,0.1199984923005104,0.05974431386163314,0.05965243798124246,-2.8176812581947197,-2.8192202598360003,-8.065847326475958e-05,-0.00027198413577893965,-0.8068159907420749,-0.8076060394040638
dist_1.0m/curr_200mA/full_circle_1m_200mA_001_20260415_150902,1.0,200.0,dist_1p0m__curr_200mA,900000,100000,425,1.6434043645858765,0.6671212911605835,0.028255091980099678,0.028255481272935867,0.2963804304599762,3.2387198587481496,36.44032586414615,-8.768354960892008,8.76835496089201,0.08858685940504074,0.04396840026968291,0.04402558848980033,-3.1242840787646,-3.1229842575160025,0.0018827486430162668,-0.0011166735019887595,-0.7998729260096265,-0.8029968468258373
dist_1.0m/curr_300mA/full_circle_1m_300mA_001_20260415_151008,1.0,300.0,dist_1p0m__curr_300mA,900000,100000,448,-2.2416276931762695,0.6671624779701233,0.02642137184739113,0.0264209546148777,0.27713748812675476,3.2387198587481496,38.4936131192826,-8.292226457701947,8.292226457701947,0.0988573506474495,0.04908300359343905,0.049172553881229444,-3.014242463101611,-3.0124196590814196,-0.000946899832933765,0.0018434104270094469,-0.8293739786835372,-0.8288166913583055
dist_1.0m/curr_400mA/full_circle_1m_400mA_001_20260415_151113,1.0,400.0,dist_1p0m__curr_400mA,900000,100000,427,1.3602982759475708,0.6664064526557922,0.02625129558146,0.026250086724758148,0.27534523606300354,3.2387198587481496,38.79366983312152,-8.224782694729159,8.224782694729159,0.10029076039791107,0.049812882001110816,0.04985299087581444,-2.9994816536809665,-2.998676786865253,0.0015113866989470406,-0.001604370137357769,-0.8209619441972102,-0.8217696760397923
dist_1.0m/curr_500mA/full_circle_1m_500mA_001_20260415_151217,1.0,500.0,dist_1p0m__curr_500mA,900000,100000,431,-2.4487504959106445,0.6672918200492859,0.0243536289781332,0.024354292079806328,0.25545966625213623,3.2387198587481496,41.11176434087839,-7.720677695205216,7.720677695205216,0.11278413981199265,0.05614128848128383,0.05602062751153746,-2.8798837570954623,-2.882035307650301,0.00015015590080595139,-0.00046960525232532367,-0.8427295433817021,-0.8401128552509749
dist_1.0m/curr_600mA/full_circle_1m_600mA_001_20260415_151323,1.0,600.0,dist_1p0m__curr_600mA,900000,100000,432,-2.8707408905029297,0.6667274832725525,0.02124696969985962,0.021246541291475296,0.22286149859428406,3.2387198587481496,44.97077917779898,-6.941391752894241,6.941391752894241,0.13483703136444092,0.06708325747565658,0.06713828489794732,-2.701820782149879,-2.7010008329166846,-0.002111679236552404,6.37690149838943e-05,-0.8697379946871244,-0.8727707098227415
dist_1.0m/curr_700mA/full_circle_1m_700mA_001_20260415_151429,1.0,700.0,dist_1p0m__curr_700mA,900000,100000,440,0.17049570381641388,0.6666437387466431,0.018695764243602753,0.018695738166570663,0.19610533118247986,3.2387198587481496,48.40457283925641,-6.3022721617213575,6.3022721617213575,0.156194806098938,0.07773911343825154,0.07784067871995358,-2.554396757813318,-2.5530911217185372,-9.064894218253875e-05,-0.0014528553630275079,-0.8924578633915963,-0.8939300617268526
dist_1.0m/curr_800mA/full_circle_1m_800mA_001_20260415_151535,1.0,800.0,dist_1p0m__curr_800mA,900000,100000,434,0.3785112798213959,0.6667115092277527,0.017294852063059807,0.01729417033493519,0.18140386044979095,3.2387198587481496,50.46577081239606,-5.940061779230891,5.940061779230893,0.16979768872261047,0.0847331163185388,0.08446261627350153,-2.4682487700483837,-2.471446253476092,-0.00035476820977319815,-0.002625370013012479,-0.9029895684387945,-0.9028238655943253
dist_1.0m/curr_900mA/full_circle_1m_900mA_001_20260415_151640,1.0,900.0,dist_1p0m__curr_900mA,900000,100000,460,0.8808768391609192,0.6669908761978149,0.01604585349559784,0.01604580692946911,0.16830939054489136,3.2387198587481496,52.39709147816289,-5.6138563939293125,5.613856393929314,0.18311935663223267,0.09130089532884388,0.09118548285625916,-2.393594684979748,-2.3948595737798906,-0.0006603459831859922,0.0011348353500399947,-0.9095311478550303,-0.9099314098638143
dist_1.5m/curr_100mA/full_circle_1.5m_100mA_001_20260415_154805,1.5,100.0,dist_1p5m__curr_100mA,900000,100000,434,-2.3349342346191406,0.6662259697914124,0.005746395327150822,0.005746355280280113,0.060275278985500336,3.2387198587481496,73.37452715530047,-2.689093688857411,2.6890936888574117,0.35868415236473083,0.17898298124250692,0.1791150146771659,-1.7204645545189763,-1.7197271393859874,-0.0007001682428912806,0.0004749498098997066,-0.9338666266056515,-0.9331898524250097
dist_1.5m/curr_200mA/full_circle_1.5m_200mA_001_20260415_154910,1.5,200.0,dist_1p5m__curr_200mA,900000,100000,426,-0.8293657302856445,0.6669134497642517,0.006874287500977516,0.006874482613056898,0.07210855185985565,3.2387198587481496,70.36566304903515,-3.0527843132351897,3.05278431323519,0.3302106261253357,0.16462941920494592,0.16497415170938645,-1.8040582752094603,-1.8019664736601861,-2.7236406213459457e-05,-0.0006477516384460394,-0.9437581888667679,-0.946182859038613
